成分代碼,核價成分代碼,核價成分名稱
0000047000,0000047000,AESCULUS
2412000801,0000047000,AESCULUS
2412000802,0000047000,AESCULUS
2412000804,0000047000,AESCULUS
0000084000,0000084000,ALPROSTADIL (=PGE1)
6832001600,0000084000,ALPROSTADIL (=PGE1)
6832001611,0000084000,ALPROSTADIL (=PGE1)
0000089000,0000089000,ALUMINUM CHLORHYDROXYALLANTOINATE (=ALCOXA)
8416000200,0000089000,ALUMINUM CHLORHYDROXYALLANTOINATE (=ALCOXA)
0000107000,0000107000,AMBROXOL
4800001800,0000107000,AMBROXOL
4800001810,0000107000,AMBROXOL
0000121000,0000121000,AMINOPHYLLINE
8600000300,0000121000,AMINOPHYLLINE
8600100700,0000121000,AMINOPHYLLINE
0000133000,0000133000,AMLODIPINE
2412402210,0000133000,AMLODIPINE
2412492210,0000133000,AMLODIPINE
0000180000,0000180000,ARMENIACA
9200014500,0000180000,ARMENIACA
9200014505,0000180000,ARMENIACA
9200014510,0000180000,ARMENIACA
9200014511,0000180000,ARMENIACA
9200014580,0000180000,ARMENIACA
0000189000,0000189000,ASCORBIC ACID
0002495000,0000189000,ASCORBIC ACID
8816000100,0000189000,ASCORBIC ACID
8816000110,0000189000,ASCORBIC ACID
8816000200,0000189000,ASCORBIC ACID
8816000250,0000189000,ASCORBIC ACID
8816000300,0000189000,ASCORBIC ACID
8816000400,0000189000,ASCORBIC ACID
8816000500,0000189000,ASCORBIC ACID
8816000600,0000189000,ASCORBIC ACID
8816000700,0000189000,ASCORBIC ACID
8816000800,0000189000,ASCORBIC ACID
8816000900,0000189000,ASCORBIC ACID
8816009400,0000189000,ASCORBIC ACID
8816009600,0000189000,ASCORBIC ACID
8816009700,0000189000,ASCORBIC ACID
8816009900,0000189000,ASCORBIC ACID
0000194000,0000194000,ASPARTATE
4020100412,0000194000,ASPARTATE
4020100422,0000194000,ASPARTATE
4020100425,0000194000,ASPARTATE
4020100430,0000194000,ASPARTATE
4020100432,0000194000,ASPARTATE
4020100433,0000194000,ASPARTATE
4020100435,0000194000,ASPARTATE
4020100440,0000194000,ASPARTATE
4020100442,0000194000,ASPARTATE
4020100443,0000194000,ASPARTATE
4020100445,0000194000,ASPARTATE
4020100450,0000194000,ASPARTATE
4020100451,0000194000,ASPARTATE
4020100452,0000194000,ASPARTATE
4020100470,0000194000,ASPARTATE
4020100492,0000194000,ASPARTATE
4020109412,0000194000,ASPARTATE
4020109450,0000194000,ASPARTATE
0000206000,0000206000,ATRACURIUM
0000212000,0000212000,AZAPENTACENE
5212000210,0000212000,AZAPENTACENE
0000219000,0000219000,AZITHROMYCIN
0812500400,0000219000,AZITHROMYCIN
0812500420,0000219000,AZITHROMYCIN
0812590410,0000219000,AZITHROMYCIN
0000230000,0000230000,BAMBUTEROL
1212004310,0000230000,BAMBUTEROL
0000231000,0000231000,BAMIPINE
0400004400,0000231000,BAMIPINE
0400004410,0000231000,BAMIPINE
0400004420,0000231000,BAMIPINE
0400004430,0000231000,BAMIPINE
0000239000,0000239000,BEESWAX
9600003500,0000239000,BEESWAX
9600003600,0000239000,BEESWAX
0000249000,0000249000,BENAZEPRIL
2408004510,0000249000,BENAZEPRIL
0000252000,0000252000,BENDROFLUMETHIAZIDE
4028100100,0000252000,BENDROFLUMETHIAZIDE
0000254000,0000254000,BENFOTIAMIN
8810101700,0000254000,BENFOTIAMIN
0000256000,0000256000,BENOXINATE
5216000100,0000256000,BENOXINATE
5216000110,0000256000,BENOXINATE
5216000190,0000256000,BENOXINATE
0000262000,0000262000,BENZALKONIUM CHLORIDE
8404600310,0000262000,BENZALKONIUM CHLORIDE
0000299000,0000299000,BETAXOLOL
1216002410,0000299000,BETAXOLOL
1216092410,0000299000,BETAXOLOL
0000336000,0000336000,BROMISOVALUM
2824000300,0000336000,BROMISOVALUM
0000357000,0000357000,BUSPIRONE
2816801510,0000357000,BUSPIRONE
0000365000,0000365000,BUTOCONAZOLE
0812203010,0000365000,BUTOCONAZOLE
0000367000,0000367000,BUTYLATED HYDROXYANISOLE
9600004600,0000367000,BUTYLATED HYDROXYANISOLE
0000381000,0000381000,CALCITRIOL
8818000400,0000381000,CALCITRIOL
0000458000,0000458000,CEFAZOLIN
0812300500,0000458000,CEFAZOLIN
0812300501,0000458000,CEFAZOLIN
0812300510,0000458000,CEFAZOLIN
0812309510,0000458000,CEFAZOLIN
0000476000,0000476000,CEFOXITIN
0812300800,0000476000,CEFOXITIN
0812300810,0000476000,CEFOXITIN
0812309810,0000476000,CEFOXITIN
0000478000,0000478000,CEFPODOXIME
0812310000,0000478000,CEFPODOXIME
0000479000,0000479000,CEFRADINE
0812301700,0000479000,CEFRADINE
0812301750,0000479000,CEFRADINE
0812310100,0000479000,CEFRADINE
0812391750,0000479000,CEFRADINE
0000486000,0000486000,CEFTRIAXONE
0812693010,0000486000,CEFTRIAXONE
0812693015,0000486000,CEFTRIAXONE
0000513000,0000513000,CHENODEOXYCHOLIC ACID
5630000100,0000513000,CHENODEOXYCHOLIC ACID
0000518000,0000518000,CHLORAMPHENICOL
0812400100,0000518000,CHLORAMPHENICOL
0812400101,0000518000,CHLORAMPHENICOL
0812400102,0000518000,CHLORAMPHENICOL
0812400110,0000518000,CHLORAMPHENICOL
0812400115,0000518000,CHLORAMPHENICOL
0812400120,0000518000,CHLORAMPHENICOL
0812400130,0000518000,CHLORAMPHENICOL
0812400131,0000518000,CHLORAMPHENICOL
0812400132,0000518000,CHLORAMPHENICOL
0812400142,0000518000,CHLORAMPHENICOL
0812400150,0000518000,CHLORAMPHENICOL
0812400151,0000518000,CHLORAMPHENICOL
0812400152,0000518000,CHLORAMPHENICOL
0812400160,0000518000,CHLORAMPHENICOL
0812400170,0000518000,CHLORAMPHENICOL
0812400180,0000518000,CHLORAMPHENICOL
0812409120,0000518000,CHLORAMPHENICOL
0812409130,0000518000,CHLORAMPHENICOL
0812409150,0000518000,CHLORAMPHENICOL
0812409152,0000518000,CHLORAMPHENICOL
0812409160,0000518000,CHLORAMPHENICOL
0000536000,0000536000,CHLOROBUTANOL
9600008500,0000536000,CHLOROBUTANOL
9600008550,0000536000,CHLOROBUTANOL
9600008560,0000536000,CHLOROBUTANOL
0000539000,0000539000,CHLOROPROTHIXENE
2816809320,0000539000,CHLOROPROTHIXENE
0000558000,0000558000,CHOLESTYRAMINE
2406000200,0000558000,CHOLESTYRAMINE
2406000250,0000558000,CHOLESTYRAMINE
2406009250,0000558000,CHOLESTYRAMINE
0000567000,0000567000,CHONDROITIN
2406000300,0000567000,CHONDROITIN
2406000310,0000567000,CHONDROITIN
2406008310,0000567000,CHONDROITIN
0000575000,0000575000,CYCLACILLIN
0000684000,0000575000,CYCLACILLIN
0812600600,0000575000,CYCLACILLIN
0812600650,0000575000,CYCLACILLIN
0000581000,0000581000,CINNAMON
5610000100,0000581000,CINNAMON
5610000101,0000581000,CINNAMON
5610000102,0000581000,CINNAMON
5610000103,0000581000,CINNAMON
5610000104,0000581000,CINNAMON
