snapshot_date,record_type,atc_code,atc_name,ddd,uom,adm_r,note,brand_name,dosage_form,ingredients,ddd_comb
2021-12-03,main,A,ALIMENTARY TRACT AND METABOLISM,,,,,,,,
2021-12-03,main,A01,STOMATOLOGICAL PREPARATIONS,,,,,,,,
2021-12-03,main,A01A,STOMATOLOGICAL PREPARATIONS,,,,,,,,
2021-12-03,main,A01AA,Caries prophylactic agents,,,,,,,,
2021-12-03,main,A01AA01,sodium fluoride,1.1,mg,O,0.5 mg fluoride,,,,
2021-12-03,main,A01AA02,sodium monofluorophosphate,,,,,,,,
2021-12-03,main,A01AA03,olaflur,1.1,mg,O,,,,,
2021-12-03,main,A01AA04,stannous fluoride,,,,,,,,
2021-12-03,main,A01AA30,combinations,,,,,,,,
2021-12-03,main,A01AA51,"sodium fluoride, combinations",,,,,,,,
2021-12-03,main,A01AB,Antiinfectives and antiseptics for local oral treatment,,,,,,,,
2021-12-03,main,A01AB02,hydrogen peroxide,60.0,mg,O,,,,,
2021-12-03,main,A01AB03,chlorhexidine,30.0,mg,O,,,,,
2021-12-03,main,A01AB04,amphotericin B,40.0,mg,O,,,,,
2021-12-03,main,A01AB05,polynoxylin,0.18,g,O,,,,,
2021-12-03,main,A01AB06,domiphen,3.0,mg,O,,,,,
2021-12-03,main,A01AB07,oxyquinoline,80.0,mg,O,,,,,
2021-12-03,main,A01AB08,neomycin,,,,,,,,
2021-12-03,main,A01AB09,miconazole,0.2,g,O,,,,,
2021-12-03,main,A01AB10,natamycin,20.0,mg,O,,,,,
2021-12-03,main,A01AB11,various,,,,,,,,
2021-12-03,main,A01AB12,hexetidine,,,,,,,,
2021-12-03,main,A01AB13,tetracycline,,,,,,,,
2021-12-03,main,A01AB14,benzoxonium chloride,,,,,,,,
2021-12-03,main,A01AB15,tibezonium iodide,,,,,,,,
2021-12-03,main,A01AB16,mepartricin,,,,,,,,
2021-12-03,main,A01AB17,metronidazole,,,,,,,,
2021-12-03,main,A01AB18,clotrimazole,,,,,,,,
2021-12-03,main,A01AB19,sodium perborate,,,,,,,,
2021-12-03,main,A01AB21,chlortetracycline,,,,,,,,
2021-12-03,main,A01AB22,doxycycline,,,,,,,,
2021-12-03,main,A01AB23,minocycline,1.0,mg,O,,,,,
2021-12-03,main,A01AC,Corticosteroids for local oral treatment,,,,,,,,
2021-12-03,main,A01AC01,triamcinolone,,,,,,,,
2021-12-03,main,A01AC02,dexamethasone,,,,,,,,
2021-12-03,main,A01AC03,hydrocortisone,,,,,,,,
2021-12-03,main,A01AC54,"prednisolone, combinations",,,,,,,,
2021-12-03,main,A01AD,Other agents for local oral treatment,,,,,,,,
2021-12-03,main,A01AD01,epinephrine,,,,,,,,
2021-12-03,main,A01AD02,benzydamine,,,,,,,,
2021-12-03,main,A01AD05,acetylsalicylic acid,,,,,,,,
2021-12-03,main,A01AD06,adrenalone,,,,,,,,
2021-12-03,main,A01AD07,amlexanox,,,,,,,,
2021-12-03,main,A01AD08,becaplermin,,,,,,,,
2021-12-03,main,A01AD11,various,,,,,,,,
2021-12-03,main,A02,DRUGS FOR ACID RELATED DISORDERS,,,,,,,,
2021-12-03,main,A02A,ANTACIDS,,,,,,,,
2021-12-03,main,A02AA,Magnesium compounds,,,,,,,,
2021-12-03,main,A02AA01,magnesium carbonate,,,,,,,,
2021-12-03,main,A02AA02,magnesium oxide,,,,,,,,
2021-12-03,main,A02AA03,magnesium peroxide,,,,,,,,
2021-12-03,main,A02AA04,magnesium hydroxide,3.0,g,O,,,,,
2021-12-03,main,A02AA05,magnesium silicate,,,,,,,,
2021-12-03,main,A02AA10,combinations,,,,,,,,
2021-12-03,main,A02AB,Aluminium compounds,,,,,,,,
2021-12-03,main,A02AB01,aluminium hydroxide,,,,,,,,
2021-12-03,main,A02AB02,algeldrate,5.0,g,O,,,,,
2021-12-03,main,A02AB03,aluminium phosphate,,,,,,,,
2021-12-03,main,A02AB04,dihydroxialumini sodium carbonate,4.0,g,O,,,,,
2021-12-03,main,A02AB05,aluminium acetoacetate,,,,,,,,
2021-12-03,main,A02AB06,aloglutamol,,,,,,,,
2021-12-03,main,A02AB07,aluminium glycinate,,,,,,,,
2021-12-03,main,A02AB10,combinations,,,,,,,,
2021-12-03,main,A02AC,Calcium compounds,,,,,,,,
2021-12-03,main,A02AC01,calcium carbonate,,,,,,,,
2021-12-03,main,A02AC02,calcium silicate,6.0,g,O,,,,,
2021-12-03,main,A02AC10,combinations,,,,,,,,
2021-12-03,main,A02AD,"Combinations and complexes of aluminium, calcium and magnesium compounds",,,,,,,,
2021-12-03,main,A02AD01,ordinary salt combinations,,,,Standard dose: 10 tablets or 50 ml mixt,,,,
2021-12-03,main,A02AD02,magaldrate,,,,,,,,
2021-12-03,main,A02AD03,almagate,,,,,,,,
2021-12-03,main,A02AD04,hydrotalcite,,,,,,,,
2021-12-03,main,A02AD05,almasilate,,,,,,,,
2021-12-03,main,A02AF,Antacids with antiflatulents,,,,,,,,
2021-12-03,main,A02AF01,magaldrate and antiflatulents,,,,,,,,
2021-12-03,main,A02AF02,ordinary salt combinations and antiflatulents,,,,,,,,
2021-12-03,main,A02AG,Antacids with antispasmodics,,,,,,,,
2021-12-03,main,A02AH,Antacids with sodium bicarbonate,,,,,,,,
2021-12-03,main,A02AX,"Antacids, other combinations",,,,,,,,
2021-12-03,main,A02B,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),,,,,,,,
2021-12-03,main,A02BA,H2-receptor antagonists,,,,,,,,
2021-12-03,main,A02BA01,cimetidine,0.8,g,O,,,,,
2021-12-03,main,A02BA01,cimetidine,0.8,g,P,,,,,
2021-12-03,main,A02BA02,ranitidine,0.3,g,O,,,,,
2021-12-03,main,A02BA02,ranitidine,0.3,g,P,,,,,
2021-12-03,main,A02BA03,famotidine,40.0,mg,O,,,,,
2021-12-03,main,A02BA03,famotidine,40.0,mg,P,,,,,
2021-12-03,main,A02BA04,nizatidine,0.3,g,O,,,,,
2021-12-03,main,A02BA04,nizatidine,0.3,g,P,,,,,
2021-12-03,main,A02BA05,niperotidine,,,,,,,,
2021-12-03,main,A02BA06,roxatidine,0.15,g,O,,,,,
2021-12-03,main,A02BA07,ranitidine bismuth citrate,0.8,g,O,,,,,
2021-12-03,main,A02BA08,lafutidine,20.0,mg,O,,,,,
2021-12-03,main,A02BA51,"cimetidine, combinations",,,,,,,,
2021-12-03,main,A02BA53,"famotidine, combinations",,,,,,,,
2021-12-03,main,A02BB,Prostaglandins,,,,,,,,
2021-12-03,main,A02BB01,misoprostol,0.8,mg,O,,,,,
2021-12-03,main,A02BB02,enprostil,70.0,mcg,O,,,,,
2021-12-03,main,A02BC,Proton pump inhibitors,,,,,,,,
2021-12-03,main,A02BC01,omeprazole,20.0,mg,O,,,,,
2021-12-03,main,A02BC01,omeprazole,20.0,mg,P,,,,,
2021-12-03,main,A02BC02,pantoprazole,40.0,mg,O,,,,,
2021-12-03,main,A02BC02,pantoprazole,40.0,mg,P,,,,,
2021-12-03,main,A02BC03,lansoprazole,30.0,mg,O,,,,,
2021-12-03,main,A02BC04,rabeprazole,20.0,mg,O,,,,,
2021-12-03,main,A02BC05,esomeprazole,30.0,mg,O,,,,,
2021-12-03,main,A02BC05,esomeprazole,30.0,mg,P,,,,,
2021-12-03,main,A02BC06,dexlansoprazole,30.0,mg,O,,,,,
2021-12-03,main,A02BC07,dexrabeprazole,,,,,,,,
2021-12-03,main,A02BC08,vonoprazan,,,,,,,,
