drug_name,occurrences_in_pairs,distinct_ddinter_ids,ddinter_ids
Dexamethasone,2643,1,DDInter513
Prednisolone,2367,1,DDInter1513
Promethazine,2088,1,DDInter1533
Hydrocortisone,1961,1,DDInter885
Betamethasone,1883,1,DDInter195
Triamcinolone,1883,1,DDInter1855
Tacrolimus,1579,1,DDInter1735
Ethanol,1085,1,DDInter690
Metronidazole,1084,1,DDInter1202
Methylprednisolone,1082,1,DDInter1191
Tolbutamide,1060,1,DDInter1828
Budesonide,1030,1,DDInter246
Prednisone,1024,1,DDInter1515
Ozanimod,906,1,DDInter1376
Idelalisib,881,1,DDInter905
Ketoconazole,881,1,DDInter1008
Triamcinolone (ophthalmic),867,1,DDInter1857
Ceritinib,862,1,DDInter340
Clarithromycin,859,1,DDInter393
Erythromycin,857,1,DDInter670
Diphenhydramine,841,1,DDInter569
Doxepin,840,1,DDInter593
Dasatinib,835,1,DDInter484
Warfarin,823,1,DDInter1951
Nilotinib,815,1,DDInter1293
Cyclosporine,804,1,DDInter458
Thalidomide,803,1,DDInter1789
Mepyramine,801,1,DDInter1155
Deferasirox,786,1,DDInter488
Alimemazine,765,1,DDInter45
Fluconazole,759,1,DDInter743
Rucaparib,741,1,DDInter1626
Ribociclib,737,1,DDInter1588
Enzalutamide,735,1,DDInter649
Temsirolimus,718,1,DDInter1763
Imatinib,712,1,DDInter909
Lapatinib,710,1,DDInter1024
Sirolimus,706,1,DDInter1678
Siponimod,700,1,DDInter1676
Teriflunomide,698,1,DDInter1771
Acetylsalicylic acid,695,1,DDInter20
Sibutramine,688,1,DDInter1665
Crizotinib,688,1,DDInter448
Doxepin (topical),688,1,DDInter594
Apalutamide,686,1,DDInter107
Methotrexate,685,1,DDInter1174
Fostamatinib,681,1,DDInter785
Vemurafenib,668,1,DDInter1925
Chloroquine,667,1,DDInter359
Panobinostat,666,1,DDInter1387
Hydrocodone,657,1,DDInter884
Chloramphenicol,657,1,DDInter351
Midostaurin,653,1,DDInter1214
Miconazole,652,1,DDInter1209
Levofloxacin,645,1,DDInter1055
Cobicistat,642,1,DDInter424
Dicoumarol,640,1,DDInter542
Repaglinide,638,1,DDInter1581
Pazopanib,638,1,DDInter1400
Brigatinib,634,1,DDInter233
Indacaterol,632,1,DDInter915
Hydroxychloroquine,630,1,DDInter893
Quinine,627,1,DDInter1557
Clemastine,626,1,DDInter395
Glyburide,625,1,DDInter831
Troglitazone,624,1,DDInter1881
Picosulfuric acid,624,1,DDInter1464
Somatotropin,623,1,DDInter1699
Leflunomide,621,1,DDInter1033
Fedratinib,619,1,DDInter714
Fludrocortisone,613,1,DDInter747
Bexarotene,610,1,DDInter202
Cabozantinib,607,1,DDInter262
Chlorpropamide,605,1,DDInter364
Fingolimod,604,1,DDInter737
Terbutaline,599,1,DDInter1769
Osilodrostat,596,1,DDInter1351
Glycopyrronium,595,1,DDInter834
Glipizide,594,1,DDInter826
Oxaliplatin,593,1,DDInter1355
Glimepiride,591,1,DDInter825
Salbutamol,590,1,DDInter1632
Epinephrine,590,1,DDInter652
Omacetaxine mepesuccinate,590,1,DDInter1335
Lorlatinib,589,1,DDInter1094
Somatrem,587,1,DDInter1700
Cilostazol,587,1,DDInter379
Entrectinib,586,1,DDInter648
Ponatinib,580,1,DDInter1492
Neomycin,579,1,DDInter1277
Epirubicin,578,1,DDInter655
Osimertinib,578,1,DDInter1352
Tolazamide,576,1,DDInter1826
Brentuximab vedotin,575,1,DDInter228
Magnesium citrate,573,1,DDInter1115
Ethinylestradiol,572,1,DDInter692
Salmeterol,571,1,DDInter1635
Deflazacort,568,1,DDInter492
Nateglinide,559,1,DDInter1269
Encorafenib,558,1,DDInter640
Ivacaftor,558,1,DDInter997
Ticagrelor,558,1,DDInter1802
Vilanterol,557,1,DDInter1934
Dabrafenib,555,1,DDInter462
Diclofenac,553,1,DDInter537
Tripelennamine,553,1,DDInter1878
Codeine,552,1,DDInter429
Gilteritinib,550,1,DDInter817
Cimetidine,548,1,DDInter380
Orciprenaline,548,1,DDInter1346
Procarbazine,548,1,DDInter1526
Larotrectinib,548,1,DDInter1026
Clotrimazole,546,1,DDInter416
Aprepitant,545,1,DDInter112
Asparaginase Escherichia coli,542,1,DDInter127
Pasireotide,542,1,DDInter1398
Lidocaine,542,1,DDInter1066
Formoterol,540,1,DDInter776
"Insulin human (inhalation, rapid acting)",539,1,DDInter935
Isoprenaline,537,1,DDInter987
Aldesleukin,535,1,DDInter38
Tofacitinib,535,1,DDInter1825
Ibuprofen,531,1,DDInter900
Clofarabine,530,1,DDInter405
Doxorubicin,530,1,DDInter596
Pentamidine,528,1,DDInter1420
Trabectedin,528,1,DDInter1840
Bupropion,524,1,DDInter252
Pegaspargase,523,1,DDInter1404
Methdilazine,520,1,DDInter1168
Saxagliptin,518,1,DDInter1646
Bosutinib,518,1,DDInter224
Ifosfamide,517,1,DDInter906
Empagliflozin,515,1,DDInter636
Sunitinib,514,1,DDInter1731
Flurbiprofen,512,1,DDInter763
Thiethylperazine,511,1,DDInter1793
Olaparib,510,1,DDInter1327
Magnesium hydroxide,507,1,DDInter1118
Celecoxib,505,1,DDInter336
Mefloquine,503,1,DDInter1140
Macimorelin,502,1,DDInter1110
Acetohexamide,501,1,DDInter16
Glasdegib,500,1,DDInter822
Roflumilast,498,1,DDInter1614
Everolimus,497,1,DDInter704
Ivosidenib,497,1,DDInter1000
Polyethylene glycol (3350 with electrolytes),496,1,DDInter1487
Insulin aspart (aspart),496,1,DDInter929
Insulin detemir,495,1,DDInter931
Insulin glulisine,495,1,DDInter933
Insulin human (isophane),495,1,DDInter936
Insulin human (zinc),495,1,DDInter939
Insulin glargine,494,1,DDInter932
Insulin lispro,494,1,DDInter940
Insulin human (regular),494,1,DDInter937
Insulin human (zinc extended),494,1,DDInter938
Insulin degludec,493,1,DDInter930
Anagrelide,493,1,DDInter93
Morphine,491,1,DDInter1244
Doxorubicin (liposomal),483,1,DDInter597
Abiraterone,482,1,DDInter8
Sodium sulfate,481,1,DDInter1693
Metformin,479,1,DDInter1164
Canagliflozin,479,1,DDInter280
Dapagliflozin,474,1,DDInter474
Sorafenib,473,1,DDInter1702
Tamoxifen,472,1,DDInter1744
Exenatide,469,1,DDInter706
Ertugliflozin,466,1,DDInter669
Romidepsin,463,1,DDInter1616
Elagolix,463,1,DDInter625
Acalabrutinib,462,1,DDInter9
Pirbuterol,457,1,DDInter1476
Daunorubicin (liposomal),453,1,DDInter486
Loperamide,452,1,DDInter1088
Daunorubicin,452,1,DDInter485
Eribulin,452,1,DDInter666
Idarubicin,450,1,DDInter904
Pioglitazone,445,1,DDInter1472
Infliximab,444,1,DDInter923
Deferiprone,443,1,DDInter489
Dolasetron,442,1,DDInter581
Toremifene,442,1,DDInter1837
Apixaban,442,1,DDInter108
Mannitol,441,1,DDInter1123
Granisetron,440,1,DDInter840
Magnesium carbonate,438,1,DDInter1113
Linagliptin,437,1,DDInter1070
Tioguanine,437,1,DDInter1814
Ibrutinib,437,1,DDInter899
Opium,435,1,DDInter1344
