ingredient_id,canonical_name,canonical_name_normalized,created_at,updated_at
0000633a-9665-5e81-97af-4ab8506e99fa,GLUCOSE ANHYDROUS 130 MG,GLUCOSE ANHYDROUS 130 MG,2026-05-19 17:57:55.017826+00,2026-05-19 17:57:55.017826+00
0004d765-df2d-5928-ae32-f5c2a760c4ac,TESTOSTERONE ISOCAPROATE 60 MG,TESTOSTERONE ISOCAPROATE 60 MG,2026-05-19 17:57:54.057285+00,2026-05-19 17:57:54.057285+00
0008db90-90dd-578f-9a6c-1bc0b8333a0a,ACECLOFENAC 100 MG,ACECLOFENAC 100 MG,2026-05-19 17:57:50.669028+00,2026-05-19 17:57:50.669028+00
000cbb6d-294d-5a98-afa0-5af661e5df47,TRYPTOPHAN L- .7 MG,TRYPTOPHAN L 7 MG,2026-05-19 17:57:48.860887+00,2026-05-19 17:57:48.860887+00
001263e8-d474-5ee0-81bc-41ca43ca9bd4,TOBRAMYCIN (SULFATE) 3 MG,TOBRAMYCIN SULFATE 3 MG,2026-05-19 17:57:49.309296+00,2026-05-19 17:57:49.309296+00
0013eb10-3d19-536b-a932-4b6d160a0adc,SODIUM CHLORIDE 235 MG,SODIUM CHLORIDE 235 MG,2026-05-19 17:57:49.904662+00,2026-05-19 17:57:49.904662+00
001c1bb1-37a6-53f0-ba23-ed2648e8e5c1,"SERUM, ANTI-DE",SERUM ANTI DE,2026-05-19 17:57:56.880134+00,2026-05-19 17:57:56.880134+00
001cac28-59a3-580d-be11-4c258d877c66,DIOCTAHEDRAL SMECTITE,DIOCTAHEDRAL SMECTITE,2026-05-19 17:57:51.19254+00,2026-05-19 17:57:51.19254+00
00295d79-b1fb-5a48-9f80-2bf4433a2c45,BENZOYLTHIAMINE (MONOPHOSPHATE) 25 MG,BENZOYLTHIAMINE MONOPHOSPHATE 25 MG,2026-05-19 17:57:54.469279+00,2026-05-19 17:57:54.469279+00
002b181f-193d-5dd7-bc26-0c73efbbf05c,SACCH. OBDUCT.,SACCH OBDUCT,2026-05-19 17:57:53.698428+00,2026-05-19 17:57:53.698428+00
002bd2e6-1af0-59ba-a905-c8866a5cd978,ETHENZAMIDE (=ETHOXYBENZAMIDE) 240 MG,ETHENZAMIDE =ETHOXYBENZAMIDE 240 MG,2026-05-19 17:57:47.709491+00,2026-05-19 17:57:47.709491+00
002bd375-296e-5529-ac7b-029da28846fc,DILTIAZEM HYDROCHLORIDE,DILTIAZEM HYDROCHLORIDE,2026-05-19 17:57:47.259158+00,2026-05-19 17:57:47.259158+00
00307e2f-525a-543b-93c5-d33df93d64d6,MAGNESIUM CHLORIDE .05 MG,MAGNESIUM CHLORIDE 05 MG,2026-05-19 17:57:54.923547+00,2026-05-19 17:57:54.923547+00
