table_name,column_name,ordinal_position,data_type,is_nullable
raw_all1_code_set,nhi_code,1,text,NO
raw_atc_ddd,raw_atc_ddd_id,1,bigint,NO
raw_atc_ddd,import_batch_id,2,uuid,NO
raw_atc_ddd,row_number,3,integer,YES
raw_atc_ddd,snapshot_date,4,date,YES
raw_atc_ddd,record_type,5,text,YES
raw_atc_ddd,atc_code,6,text,NO
raw_atc_ddd,atc_name,7,text,YES
raw_atc_ddd,ddd,8,numeric,YES
raw_atc_ddd,uom,9,text,YES
raw_atc_ddd,adm_r,10,text,YES
raw_atc_ddd,note,11,text,YES
raw_atc_ddd,brand_name,12,text,YES
raw_atc_ddd,dosage_form,13,text,YES
raw_atc_ddd,ingredients,14,text,YES
raw_atc_ddd,ddd_comb,15,text,YES
raw_atc_ddd,source_payload,16,jsonb,NO
raw_nhi_component_map,raw_nhi_component_map_id,1,bigint,NO
raw_nhi_component_map,import_batch_id,2,uuid,NO
raw_nhi_component_map,row_number,3,integer,YES
raw_nhi_component_map,component_code,4,text,YES
raw_nhi_component_map,reimbursed_component_code,5,text,YES
raw_nhi_component_map,reimbursed_component_name,6,text,YES
raw_nhi_component_map,source_payload,7,jsonb,NO
raw_nhi_items,raw_nhi_item_id,1,bigint,NO
raw_nhi_items,import_batch_id,2,uuid,NO
raw_nhi_items,row_number,3,integer,YES
raw_nhi_items,change_flag,4,text,YES
raw_nhi_items,nhi_code,5,text,NO
raw_nhi_items,name_en,6,text,YES
raw_nhi_items,name_zh,7,text,YES
raw_nhi_items,ingredient_text,8,text,YES
raw_nhi_items,strength_value,9,numeric,YES
raw_nhi_items,strength_unit,10,text,YES
raw_nhi_items,combo_flag,11,text,YES
raw_nhi_items,price_nhi,12,numeric,YES
raw_nhi_items,effective_start,13,date,YES
raw_nhi_items,effective_end,14,date,YES
raw_nhi_items,vendor_name,15,text,YES
raw_nhi_items,manufacturer_name,16,text,YES
raw_nhi_items,dose_form,17,text,YES
raw_nhi_items,drug_category,18,text,YES
raw_nhi_items,category_group_name,19,text,YES
raw_nhi_items,atc_code,20,text,YES
raw_nhi_items,reimbursement_section,21,text,YES
raw_nhi_items,tfda_link,22,text,YES
