nhi_code,tfda_permit_no,input_text,ocr_text,confidence,status,review_notes
A000015421,衛署藥製字第000015號,SULFAMETHOXAZOLE SODIUM 20 MG/ML,SULFAMETHOXAZOLE SODIUM,0,pending,NHI ingredients: SULFAMETHOXAZOLE SODIUM 20 MG/ML; TFDA ingredients: SULFAMETHOXAZOLE SODIUM
A000015435,衛署藥製字第000015號,SULFAMETHOXAZOLE SODIUM 20 MG/ML,SULFAMETHOXAZOLE SODIUM,0,pending,NHI ingredients: SULFAMETHOXAZOLE SODIUM 20 MG/ML; TFDA ingredients: SULFAMETHOXAZOLE SODIUM
A000023100,衛署藥製字第000023號,ISONIAZID 100 MG,ISONIAZID,0,pending,NHI ingredients: ISONIAZID 100 MG; TFDA ingredients: ISONIAZID
A000026157,衛署藥製字第000026號,NIACINAMIDE (=NICOTINAMIDE) 20 MG/ML+FERRIC AMMONIUM CITRATE .55 MG/ML+PANTHENOL D- 5 MG/ML+RIBOFLAVIN (=VIT B2) 3 MG/ML+PYRIDOXINE HCL 1 MG/ML+CYANOCOBALAMIN (=VIT B12) 5 MCG/ML,VITAMIN A (PALMITATE) ;; NIACINAMIDE (NICOTINAMIDE) ;; CHOLECALCIFEROL ( EQ TO VIT D3) ( EQ TO VITAMIN D3) ;; RIBOFLAVIN (VIT B2) ;; ASCORBIC ACID (VIT C) ;; PANTHENOL D- (EQ TO D-PANTHENOL) ;; FERRIC AMMONIUM CITRATE ;; CYANOCOBALAMIN (VIT B12) ;; THIAMINE HYDROCHLORIDE ;; PYRIDOXINE HCL,0,pending,NHI ingredients: NIACINAMIDE (=NICOTINAMIDE) 20 MG/ML+FERRIC AMMONIUM CITRATE .55 MG/ML+PANTHENOL D- 5 MG/ML+RIBOFLAVIN (=VIT B2) 3 MG/ML+PYRIDOXINE HCL 1 MG/ML+CYANOCOBALAMIN (=VIT B12) 5 MCG/ML; TFDA ingredients: VITAMIN A (PALMITATE) ;; NIACINAMIDE (NICOTINAMIDE) ;; CHOLECALCIFEROL ( EQ TO VIT D3) ( EQ TO VITAMIN D3) ;; RIBOFLAVIN (VIT B2) ;; ASCORBIC ACID (VIT C) ;; PANTHENOL D- (EQ TO D-PANTHENOL) ;; FERRIC AMMONIUM CITRATE ;; CYANOCOBALAMIN (VIT B12) ;; THIAMINE HYDROCHLORIDE ;; PYRIDOXINE HCL
A000058172,衛署藥製字第000058號,DICYCLOMINE HCL 5 MG/GM+ALUMINUM HYDROXIDE (=ALUMINA HYDRATED) 400 MG/GM+MAGNESIUM OXIDE 200 MG/GM,MAGNESIUM OXIDE ;; ALUMINUM HYDROXIDE (ALUMINA HYDRATED) ;; DICYCLOMINE HCL,0,pending,NHI ingredients: DICYCLOMINE HCL 5 MG/GM+ALUMINUM HYDROXIDE (=ALUMINA HYDRATED) 400 MG/GM+MAGNESIUM OXIDE 200 MG/GM; TFDA ingredients: MAGNESIUM OXIDE ;; ALUMINUM HYDROXIDE (ALUMINA HYDRATED) ;; DICYCLOMINE HCL
A000058199,衛署藥製字第000058號,DICYCLOMINE HCL 5 MG/GM+ALUMINUM HYDROXIDE (=ALUMINA HYDRATED) 400 MG/GM+MAGNESIUM OXIDE 200 MG/GM,MAGNESIUM OXIDE ;; ALUMINUM HYDROXIDE (ALUMINA HYDRATED) ;; DICYCLOMINE HCL,0,pending,NHI ingredients: DICYCLOMINE HCL 5 MG/GM+ALUMINUM HYDROXIDE (=ALUMINA HYDRATED) 400 MG/GM+MAGNESIUM OXIDE 200 MG/GM; TFDA ingredients: MAGNESIUM OXIDE ;; ALUMINUM HYDROXIDE (ALUMINA HYDRATED) ;; DICYCLOMINE HCL
A000059100,衛署藥製字第000059號,DIAZEPAM 2 MG,DIAZEPAM,0,pending,NHI ingredients: DIAZEPAM 2 MG; TFDA ingredients: DIAZEPAM
A0000591G0,衛署藥製字第000059號,DIAZEPAM 2 MG,DIAZEPAM,0,pending,NHI ingredients: DIAZEPAM 2 MG; TFDA ingredients: DIAZEPAM
A000060100,衛署藥製字第000060號,DIAZEPAM 5 MG,DIAZEPAM,0,pending,NHI ingredients: DIAZEPAM 5 MG; TFDA ingredients: DIAZEPAM
A0000601G0,衛署藥製字第000060號,DIAZEPAM 5 MG,DIAZEPAM,0,pending,NHI ingredients: DIAZEPAM 5 MG; TFDA ingredients: DIAZEPAM
