nhi_code,tfda_permit_no,input_text,ocr_text,confidence,status,review_notes
A000506100,衛署藥製字第000506號,NIACINAMIDE (=NICOTINAMIDE) 50 MG+CALCIUM PHOSPHATE DIBASIC 50 MG+VITAMIN A (PALMITATE) 2500 IU+THIAMINE MONONITRATE 10 MG+RIBOFLAVIN (=VIT B2) 5 MG+PYRIDOXINE HCL 5 MG,CALCIUM PHOSPHATE DIBASIC ;; NICOTINAMIDE ;; THIAMINE MONONITRATE ;; VITAMIN A AND VITAMIN D ;; CYANOCOBALAMIN (VIT B12) ;; PYRIDOXINE(VITAMIN B6) ;; ASCORBIC ACID ALC ;; RIBOFLAVIN (VIT B2) ;; PANTOTHENATE (CALCIUM),0.2307692307692307692307692308,pending,NHI ingredients: NIACINAMIDE (=NICOTINAMIDE) 50 MG+CALCIUM PHOSPHATE DIBASIC 50 MG+VITAMIN A (PALMITATE) 2500 IU+THIAMINE MONONITRATE 10 MG+RIBOFLAVIN (=VIT B2) 5 MG+PYRIDOXINE HCL 5 MG; TFDA ingredients: CALCIUM PHOSPHATE DIBASIC ;; NICOTINAMIDE ;; THIAMINE MONONITRATE ;; VITAMIN A AND VITAMIN D ;; CYANOCOBALAMIN (VIT B12) ;; PYRIDOXINE(VITAMIN B6) ;; ASCORBIC ACID ALC ;; RIBOFLAVIN (VIT B2) ;; PANTOTHENATE (CALCIUM)
A000706109,衛署藥製字第000706號,HOMATROPINE METHYLBROMIDE 2 MG/GM+MAGNESIUM ALUMINUM HYDROXIDE  MONOHYDRATE 400 MG/GM+MAGNESIUM TRISILICATE 300 MG/GM,HOMATROPINE METHYLBROMIDE ;; MAGNESIUM TRISILICATE ;; ALUMINUM MAGNESIUM HYDRATE,0.5,pending,NHI ingredients: HOMATROPINE METHYLBROMIDE 2 MG/GM+MAGNESIUM ALUMINUM HYDROXIDE  MONOHYDRATE 400 MG/GM+MAGNESIUM TRISILICATE 300 MG/GM; TFDA ingredients: HOMATROPINE METHYLBROMIDE ;; MAGNESIUM TRISILICATE ;; ALUMINUM MAGNESIUM HYDRATE
A000862100,衛署藥製字第000862號,SODIUM BICARBONATE 200 MG+MAGNESIUM OXIDE HEAVY 70 MG,SODIUM BICARBONATE ( EQ TO SODIUM HYDROGEN CARBONATE) ;; SCOPOLIA EXTRACT ;; CALCIUM CARBONATE PRECIPITATE (EQ TO PRECIPITATED CALCIUM CARBONATE) ;; MAGNESIUM OXIDE HEAVY,0.3333333333333333333333333333,pending,NHI ingredients: SODIUM BICARBONATE 200 MG+MAGNESIUM OXIDE HEAVY 70 MG; TFDA ingredients: SODIUM BICARBONATE ( EQ TO SODIUM HYDROGEN CARBONATE) ;; SCOPOLIA EXTRACT ;; CALCIUM CARBONATE PRECIPITATE (EQ TO PRECIPITATED CALCIUM CARBONATE) ;; MAGNESIUM OXIDE HEAVY
A001208100,衛署藥製字第001208號,CARBETAPENTANE CITRATE 25 MG,CARBETAPENTANE CITRATE (eq to Pentoxyverine Citrate),0.5,pending,NHI ingredients: CARBETAPENTANE CITRATE 25 MG; TFDA ingredients: CARBETAPENTANE CITRATE (eq to Pentoxyverine Citrate)
A001353100,衛署藥製字第001353號,PYRIDOXINE HCL 1 MG+NIACINAMIDE (=NICOTINAMIDE) 15 MG+RIBOFLAVIN (=VIT B2) 2 MG+CYANOCOBALAMIN (=VIT B12) 5 MG+INOSITOL (=MESO-INOSITOL) 5 MG+ASCORBIC ACID (=VIT C) 10 MG,NIACINAMIDE (NICOTINAMIDE) ;; PYRIDOXINE HCL ;; ASCORBIC ACID (VIT C) ;; INOSITOL (MESO-INOSITOL) ;; THIOCTIC ACID AMIDE (THIOCTAMIDE) ;; RIBOFLAVIN (VIT B2) ;; THIAMINE MONONITRATE ;; PANTOTHENATE CALCIUM ;; OROTIC ACID (VIT B13) ;; CYANOCOBALAMIN (VIT B12) ;; HYDROCHLORIC ACID,0.5454545454545454545454545455,pending,NHI ingredients: PYRIDOXINE HCL 1 MG+NIACINAMIDE (=NICOTINAMIDE) 15 MG+RIBOFLAVIN (=VIT B2) 2 MG+CYANOCOBALAMIN (=VIT B12) 5 MG+INOSITOL (=MESO-INOSITOL) 5 MG+ASCORBIC ACID (=VIT C) 10 MG; TFDA ingredients: NIACINAMIDE (NICOTINAMIDE) ;; PYRIDOXINE HCL ;; ASCORBIC ACID (VIT C) ;; INOSITOL (MESO-INOSITOL) ;; THIOCTIC ACID AMIDE (THIOCTAMIDE) ;; RIBOFLAVIN (VIT B2) ;; THIAMINE MONONITRATE ;; PANTOTHENATE CALCIUM ;; OROTIC ACID (VIT B13) ;; CYANOCOBALAMIN (VIT B12) ;; HYDROCHLORIC ACID
A0016241G0,衛署藥製字第001624號,GLYCYRRHIZA EXTRACT .48 ML+OPIUM 2.5 MG+CAMPHOR 1.5 MG,GLYCYRRHIZA EXTRACT ;; OPIUM POWDER,0.25,pending,NHI ingredients: GLYCYRRHIZA EXTRACT .48 ML+OPIUM 2.5 MG+CAMPHOR 1.5 MG; TFDA ingredients: GLYCYRRHIZA EXTRACT ;; OPIUM POWDER
A001782100,衛署藥製字第001782號,CARBETAPENTANE CITRATE 25 MG,CARBETAPENTANE CITRATE (eq to Pentoxyverine Citrate),0.5,pending,NHI ingredients: CARBETAPENTANE CITRATE 25 MG; TFDA ingredients: CARBETAPENTANE CITRATE (eq to Pentoxyverine Citrate)
A001799100,衛署藥製字第001799號,BUTYLSCOPOLAMINE BROMIDE (=HYOSCINE BUTYLBROMIDE) 2 MG+DICYCLOMINE HCL 2 MG+CHLORDIAZEPOXIDE (HCL) 5 MG+MAGNESIUM ALUMINUM HYDROXIDE CO-DRIED GEL 350 MG+MAGNESIUM OXIDE 40 MG+CHLOROPHYLL SODIUM COPPER 3 MG,MAGNESIUM ALUMINUM HYDROXIDE CO-DRIED GEL ;; BUTYLSCOPOLAMINE BROMIDE (EQ TO HYOSCINE-N-BUTYLBROMIDE) ;; SODIUM COPPER CHLOROPHYLLIN ;; CHLORDIAZEPOXIDE HCL ;; SYNTHETIC ALUMINUM SILICATE ;; MAGNESIUM OXIDE ;; DICYCLOMINE HCL,0.5555555555555555555555555556,pending,NHI ingredients: BUTYLSCOPOLAMINE BROMIDE (=HYOSCINE BUTYLBROMIDE) 2 MG+DICYCLOMINE HCL 2 MG+CHLORDIAZEPOXIDE (HCL) 5 MG+MAGNESIUM ALUMINUM HYDROXIDE CO-DRIED GEL 350 MG+MAGNESIUM OXIDE 40 MG+CHLOROPHYLL SODIUM COPPER 3 MG; TFDA ingredients: MAGNESIUM ALUMINUM HYDROXIDE CO-DRIED GEL ;; BUTYLSCOPOLAMINE BROMIDE (EQ TO HYOSCINE-N-BUTYLBROMIDE) ;; SODIUM COPPER CHLOROPHYLLIN ;; CHLORDIAZEPOXIDE HCL ;; SYNTHETIC ALUMINUM SILICATE ;; MAGNESIUM OXIDE ;; DICYCLOMINE HCL
A001923229,衛署藥製字第001923號,CALCIUM GLUCONATE 100 MG/ML,CALCIUM GLUCONATE MONOHYDRATE,0,pending,NHI ingredients: CALCIUM GLUCONATE 100 MG/ML; TFDA ingredients: CALCIUM GLUCONATE MONOHYDRATE
A002076100,衛署藥製字第002076號,ETHAMBUTOL 250 MG,ETHAMBUTOL HCL,0,pending,NHI ingredients: ETHAMBUTOL 250 MG; TFDA ingredients: ETHAMBUTOL HCL
